group,genome_bp,cds
MHQ MAG (N=2288),4342707.14,4048.1
MHQ MAG (N=2288),1301992.87,1026.81
MHQ MAG (N=2288),1703288.57,1462.36
MHQ MAG (N=2288),4188553.06,3624.9
MHQ MAG (N=2288),4472334.4,3803.6
MHQ MAG (N=2288),14454397.71,14402.9
MHQ MAG (N=2288),5305276.68,4441.86
MHQ MAG (N=2288),2028783.58,1714.45
MHQ MAG (N=2288),2425939.61,2402.74
MHQ MAG (N=2288),1884532.33,1811.04
MHQ MAG (N=2288),1759274.89,1674.36
MHQ MAG (N=2288),2928389.1,3011.67
MHQ MAG (N=2288),2791496.48,2676.34
MHQ MAG (N=2288),4358641.5,4412.1
MHQ MAG (N=2288),2462056.96,2401.11
MHQ MAG (N=2288),2093095.26,1830.25
MHQ MAG (N=2288),3413876.66,3292.08
MHQ MAG (N=2288),6276868.37,5462.51
MHQ MAG (N=2288),7037732.96,7556.55
MHQ MAG (N=2288),1187483.94,900.86
MHQ MAG (N=2288),1724071.21,1642.34
MHQ MAG (N=2288),2655655.95,2612.87
MHQ MAG (N=2288),2332140.28,1970.19
MHQ MAG (N=2288),7707968.42,7977.07
MHQ MAG (N=2288),8779304.77,8668.54
MHQ MAG (N=2288),4166696.76,3829.33
MHQ MAG (N=2288),6568081.16,6783.52
MHQ MAG (N=2288),2414723.17,2325.91
MHQ MAG (N=2288),6659822.33,6154.97
MHQ MAG (N=2288),2363141.38,2203.12
MHQ MAG (N=2288),2303693.12,2326.22
MHQ MAG (N=2288),2185638.94,2497.45
MHQ MAG (N=2288),2102329.11,2012.11
MHQ MAG (N=2288),2945378.98,2904.55
MHQ MAG (N=2288),6737819.77,5766.7
MHQ MAG (N=2288),1338194.38,1132.61
MHQ MAG (N=2288),2358736.18,2635.21
MHQ MAG (N=2288),5154820.44,4419.15
MHQ MAG (N=2288),10342545.47,10648.39
MHQ MAG (N=2288),1454623.04,1565.7
MHQ MAG (N=2288),4508211.65,3709.49
MHQ MAG (N=2288),2929392.93,2692.16
MHQ MAG (N=2288),4162644.13,4077.9
MHQ MAG (N=2288),796055.1,826.35
MHQ MAG (N=2288),1008531.22,982.73
MHQ MAG (N=2288),1448985.41,1355.31
MHQ MAG (N=2288),2117552.77,1876.31
MHQ MAG (N=2288),1087630.08,1070.2
MHQ MAG (N=2288),1790981.53,1460.77
MHQ MAG (N=2288),1894785.2,1674.62
MHQ MAG (N=2288),2106427.1,2354.76
MHQ MAG (N=2288),1792962.37,1792.98
MHQ MAG (N=2288),4167673.57,3352.64
MHQ MAG (N=2288),2866461.93,2621.39
MHQ MAG (N=2288),4340253.38,4629.89
MHQ MAG (N=2288),1954031.78,1955.9
MHQ MAG (N=2288),1589431.0,1588.3
MHQ MAG (N=2288),1513963.21,1507.96
MHQ MAG (N=2288),4969264.88,4599.47
MHQ MAG (N=2288),4911304.48,3790.74
MHQ MAG (N=2288),14454397.71,12714.31
MHQ MAG (N=2288),770993.79,715.37
MHQ MAG (N=2288),2842053.76,2557.31
MHQ MAG (N=2288),1663133.4,1495.35
MHQ MAG (N=2288),14454397.71,11635.88
MHQ MAG (N=2288),2498022.84,2326.98
MHQ MAG (N=2288),3098789.36,2714.17
MHQ MAG (N=2288),5265326.89,4080.47
MHQ MAG (N=2288),1737950.68,1485.82
MHQ MAG (N=2288),1178119.95,1047.54
MHQ MAG (N=2288),3123387.43,3515.89
MHQ MAG (N=2288),7489086.71,7999.72
MHQ MAG (N=2288),1354758.48,1277.29
MHQ MAG (N=2288),8956843.07,8086.1
MHQ MAG (N=2288),6152938.52,6770.41
MHQ MAG (N=2288),2662340.78,2701.95
MHQ MAG (N=2288),1356564.96,1114.8
MHQ MAG (N=2288),1166120.79,1160.43
MHQ MAG (N=2288),2612059.5,2154.33
MHQ MAG (N=2288),1573670.38,1738.12
MHQ MAG (N=2288),1234465.83,1283.03
MHQ MAG (N=2288),2819223.34,2429.66
MHQ MAG (N=2288),7401776.32,7387.17
MHQ MAG (N=2288),2802656.57,2520.51
MHQ MAG (N=2288),2750410.64,2600.66
MHQ MAG (N=2288),1099298.38,1128.89
MHQ MAG (N=2288),1983296.8,1941.49
MHQ MAG (N=2288),2556883.56,2442.67
MHQ MAG (N=2288),2621527.11,2784.66
MHQ MAG (N=2288),2361462.83,1875.31
MHQ MAG (N=2288),1246085.42,1229.28
MHQ MAG (N=2288),1521075.85,1468.15
MHQ MAG (N=2288),6746860.47,6177.7
MHQ MAG (N=2288),4092073.45,4238.98
MHQ MAG (N=2288),1479602.21,1362.94
MHQ MAG (N=2288),9697102.36,10863.91
MHQ MAG (N=2288),2296150.57,2084.24
MHQ MAG (N=2288),5361931.61,4633.76
MHQ MAG (N=2288),1554526.33,1399.74
MHQ MAG (N=2288),4472350.72,4533.74
MHQ MAG (N=2288),9705090.88,10360.27
MHQ MAG (N=2288),3278915.06,3121.88
MHQ MAG (N=2288),2564257.89,2757.52
MHQ MAG (N=2288),1736869.15,1471.95
MHQ MAG (N=2288),736105.54,617.68
MHQ MAG (N=2288),2581554.7,2483.52
MHQ MAG (N=2288),6329557.43,6283.83
MHQ MAG (N=2288),4536000.18,3791.49
MHQ MAG (N=2288),4847241.16,5306.95
MHQ MAG (N=2288),3469150.42,3667.91
MHQ MAG (N=2288),7565627.2,7357.32
MHQ MAG (N=2288),2577309.35,2499.4
MHQ MAG (N=2288),2067172.94,1825.62
MHQ MAG (N=2288),1998212.65,1972.66
MHQ MAG (N=2288),3758540.52,4030.34
MHQ MAG (N=2288),3925086.26,3651.91
MHQ MAG (N=2288),2093455.58,2484.1
MHQ MAG (N=2288),3844713.6,3656.36
MHQ MAG (N=2288),2279509.53,2253.24
MHQ MAG (N=2288),5273565.48,4961.3
MHQ MAG (N=2288),2584961.64,2143.22
MHQ MAG (N=2288),1571535.58,1807.18
MHQ MAG (N=2288),1767108.53,1950.21
MHQ MAG (N=2288),3645196.85,3802.08
MHQ MAG (N=2288),4070012.63,3592.19
MHQ MAG (N=2288),2137789.27,1961.38
MHQ MAG (N=2288),3383186.68,3028.47
MHQ MAG (N=2288),2419131.34,2210.92
MHQ MAG (N=2288),3017494.77,2981.87
MHQ MAG (N=2288),2601201.39,2519.16
MHQ MAG (N=2288),3335808.31,3676.39
MHQ MAG (N=2288),2370509.96,2174.79
MHQ MAG (N=2288),2154144.9,1929.24
MHQ MAG (N=2288),6497991.03,5995.32
MHQ MAG (N=2288),8105712.55,6832.33
MHQ MAG (N=2288),4748921.69,5576.35
MHQ MAG (N=2288),3833748.51,3689.39
MHQ MAG (N=2288),820279.08,892.35
MHQ MAG (N=2288),2173182.24,2355.02
MHQ MAG (N=2288),1306052.75,1322.56
MHQ MAG (N=2288),3227434.36,3383.65
MHQ MAG (N=2288),1645421.12,1506.08
MHQ MAG (N=2288),2780690.77,2693.08
MHQ MAG (N=2288),5013143.3,4363.97
MHQ MAG (N=2288),4199673.36,3819.05
MHQ MAG (N=2288),3612404.89,3983.05
MHQ MAG (N=2288),7996580.9,7312.13
MHQ MAG (N=2288),2367016.47,2605.22
MHQ MAG (N=2288),5068048.52,4756.85
MHQ MAG (N=2288),4361361.38,3710.7
MHQ MAG (N=2288),1314367.17,1166.84
MHQ MAG (N=2288),3660230.42,3847.95
MHQ MAG (N=2288),4100739.7,4283.38
MHQ MAG (N=2288),1178240.82,1183.52
MHQ MAG (N=2288),3192246.31,2816.46
MHQ MAG (N=2288),2880889.46,2609.66
MHQ MAG (N=2288),2838875.42,2468.84
MHQ MAG (N=2288),4288046.63,4095.52
MHQ MAG (N=2288),1173612.03,1020.46
MHQ MAG (N=2288),2079936.21,2175.74
MHQ MAG (N=2288),6268807.12,5882.55
MHQ MAG (N=2288),5762358.44,4987.16
MHQ MAG (N=2288),6453872.8,8031.31
MHQ MAG (N=2288),2517918.37,2542.79
MHQ MAG (N=2288),905433.75,849.69
MHQ MAG (N=2288),3771677.62,3509.56
MHQ MAG (N=2288),2470390.03,2506.0
MHQ MAG (N=2288),1827917.21,1713.73
MHQ MAG (N=2288),7954299.01,8306.86
MHQ MAG (N=2288),3555667.84,3033.03
MHQ MAG (N=2288),1937134.22,2035.86
MHQ MAG (N=2288),4142706.61,3801.83
MHQ MAG (N=2288),10943614.15,10159.36
MHQ MAG (N=2288),2487657.09,2225.88
MHQ MAG (N=2288),6860456.75,5641.28
MHQ MAG (N=2288),3439851.49,3413.67
MHQ MAG (N=2288),961143.25,1110.01
MHQ MAG (N=2288),5589605.62,5214.6
MHQ MAG (N=2288),1877634.97,2058.27
MHQ MAG (N=2288),4272556.74,4412.01
MHQ MAG (N=2288),1827767.17,1635.88
MHQ MAG (N=2288),5338661.84,4761.41
MHQ MAG (N=2288),3602297.41,3647.36
MHQ MAG (N=2288),2356228.09,2163.19
MHQ MAG (N=2288),3059686.79,2626.15
MHQ MAG (N=2288),4487254.45,4049.59
MHQ MAG (N=2288),1032701.03,964.69
MHQ MAG (N=2288),6827973.39,6141.03
MHQ MAG (N=2288),1243813.06,1289.25
MHQ MAG (N=2288),6895894.85,5733.93
MHQ MAG (N=2288),1969988.29,1955.11
MHQ MAG (N=2288),2421113.23,2737.18
MHQ MAG (N=2288),4530867.57,5444.57
MHQ MAG (N=2288),4792923.82,4642.28
MHQ MAG (N=2288),1674254.88,1610.78
MHQ MAG (N=2288),691044.91,699.84
MHQ MAG (N=2288),10488206.93,9916.52
MHQ MAG (N=2288),904729.85,981.49
MHQ MAG (N=2288),4092619.3,3348.66
MHQ MAG (N=2288),2382237.43,2066.33
MHQ MAG (N=2288),1900055.53,1855.49
MHQ MAG (N=2288),2987778.97,3077.1
MHQ MAG (N=2288),3749468.83,2836.79
MHQ MAG (N=2288),2935842.69,2551.57
MHQ MAG (N=2288),4476634.69,4567.34
MHQ MAG (N=2288),2379134.75,2256.14
MHQ MAG (N=2288),4414128.74,3824.17
MHQ MAG (N=2288),4766936.0,4602.15
MHQ MAG (N=2288),3446452.63,3667.76
MHQ MAG (N=2288),1680257.62,1791.34
MHQ MAG (N=2288),2132270.53,2264.47
MHQ MAG (N=2288),4076161.93,3841.37
MHQ MAG (N=2288),1904777.69,1798.74
MHQ MAG (N=2288),3736242.46,3039.53
MHQ MAG (N=2288),9341458.47,9479.67
MHQ MAG (N=2288),6709950.58,6287.14
MHQ MAG (N=2288),3489396.4,3307.61
MHQ MAG (N=2288),4056186.66,3576.91
MHQ MAG (N=2288),4501453.39,4312.82
MHQ MAG (N=2288),1545597.89,1363.0
MHQ MAG (N=2288),4131886.66,3539.51
MHQ MAG (N=2288),2974022.1,3151.86
MHQ MAG (N=2288),2705643.1,2531.69
MHQ MAG (N=2288),2938437.87,2847.42
MHQ MAG (N=2288),4646517.05,4888.71
MHQ MAG (N=2288),2417412.39,2559.5
MHQ MAG (N=2288),1321337.8,1283.82
MHQ MAG (N=2288),2182936.02,2316.73
MHQ MAG (N=2288),1684817.58,1879.33
MHQ MAG (N=2288),3112469.55,2876.79
MHQ MAG (N=2288),9066573.41,7840.22
MHQ MAG (N=2288),2836597.05,2955.63
MHQ MAG (N=2288),2246723.42,2104.67
MHQ MAG (N=2288),1412054.82,1276.84
MHQ MAG (N=2288),1547185.14,1402.16
MHQ MAG (N=2288),2071696.94,2149.39
MHQ MAG (N=2288),4065996.83,4205.1
MHQ MAG (N=2288),1661404.49,1788.84
MHQ MAG (N=2288),691667.73,632.85
MHQ MAG (N=2288),2227348.89,2620.81
MHQ MAG (N=2288),5409833.65,4557.21
MHQ MAG (N=2288),3643222.85,3529.3
MHQ MAG (N=2288),2160961.12,1794.84
MHQ MAG (N=2288),1721465.72,1483.33
MHQ MAG (N=2288),2553327.5,2270.73
MHQ MAG (N=2288),7258607.88,6922.84
MHQ MAG (N=2288),2168251.66,1791.69
MHQ MAG (N=2288),3820877.93,3356.51
MHQ MAG (N=2288),1075511.26,856.84
MHQ MAG (N=2288),7682450.41,7448.12
MHQ MAG (N=2288),2568613.23,2652.0
MHQ MAG (N=2288),3326077.32,3266.19
MHQ MAG (N=2288),2490124.91,1818.01
MHQ MAG (N=2288),2722702.09,2969.87
MHQ MAG (N=2288),2108559.81,1955.76
MHQ MAG (N=2288),5859194.0,5767.12
MHQ MAG (N=2288),3593159.82,2961.66
MHQ MAG (N=2288),2598295.08,2617.32
MHQ MAG (N=2288),5844311.22,5722.54
MHQ MAG (N=2288),1193092.07,935.69
MHQ MAG (N=2288),3723918.15,3975.75
MHQ MAG (N=2288),1333857.69,1443.02
MHQ MAG (N=2288),2248579.89,1843.36
MHQ MAG (N=2288),3032916.41,2774.96
MHQ MAG (N=2288),3951182.82,4110.47
MHQ MAG (N=2288),2050249.57,1913.3
MHQ MAG (N=2288),8192883.54,7699.1
MHQ MAG (N=2288),4304356.87,5445.89
MHQ MAG (N=2288),5246376.32,4626.94
MHQ MAG (N=2288),2569846.58,2438.44
MHQ MAG (N=2288),2085454.9,1824.11
MHQ MAG (N=2288),4141708.96,4202.95
MHQ MAG (N=2288),839483.98,890.04
MHQ MAG (N=2288),1606341.27,1736.51
MHQ MAG (N=2288),1489973.41,1379.2
MHQ MAG (N=2288),2369909.04,2272.69
MHQ MAG (N=2288),6594354.42,7473.33
MHQ MAG (N=2288),1127496.81,1139.1
MHQ MAG (N=2288),3881912.51,4048.58
MHQ MAG (N=2288),3901491.12,3453.61
MHQ MAG (N=2288),2131627.72,2105.95
MHQ MAG (N=2288),1855641.64,1673.58
MHQ MAG (N=2288),4718603.79,4173.08
MHQ MAG (N=2288),3436609.12,3276.09
MHQ MAG (N=2288),1883062.75,1794.74
MHQ MAG (N=2288),1080440.31,1064.06
MHQ MAG (N=2288),2381931.59,2212.73
MHQ MAG (N=2288),1270913.74,1210.18
MHQ MAG (N=2288),8939563.58,9984.68
MHQ MAG (N=2288),3025182.61,2875.9
MHQ MAG (N=2288),2771580.43,2637.81
MHQ MAG (N=2288),1560258.32,1536.7
MHQ MAG (N=2288),4351962.86,3888.84
MHQ MAG (N=2288),5930495.1,5589.22
MHQ MAG (N=2288),1704924.21,1430.21
MHQ MAG (N=2288),1872111.59,2044.45
MHQ MAG (N=2288),4154855.79,4014.99
MHQ MAG (N=2288),1383871.48,1201.82
MHQ MAG (N=2288),2058351.65,1606.05
MHQ MAG (N=2288),1934834.5,1965.9
MHQ MAG (N=2288),2229349.36,2244.82
MHQ MAG (N=2288),2193641.25,1732.82
MHQ MAG (N=2288),8578810.66,8748.0
MHQ MAG (N=2288),1135096.43,1281.34
MHQ MAG (N=2288),2897107.76,3245.19
MHQ MAG (N=2288),3952558.36,4231.76
MHQ MAG (N=2288),1887838.43,1960.17
MHQ MAG (N=2288),3436014.02,2970.22
MHQ MAG (N=2288),2699892.15,2841.71
MHQ MAG (N=2288),4301652.97,4335.51
MHQ MAG (N=2288),2154215.4,2084.42
MHQ MAG (N=2288),6410164.51,6953.51
MHQ MAG (N=2288),1566372.86,1610.64
MHQ MAG (N=2288),2456255.44,2806.13
MHQ MAG (N=2288),2546648.04,2254.31
MHQ MAG (N=2288),2788349.95,2838.57
MHQ MAG (N=2288),1234624.96,1337.09
MHQ MAG (N=2288),1689430.17,1554.55
MHQ MAG (N=2288),3577223.23,4115.36
MHQ MAG (N=2288),4093611.51,3209.33
MHQ MAG (N=2288),3761858.28,4091.92
MHQ MAG (N=2288),2519872.23,2197.63
MHQ MAG (N=2288),1564021.02,1555.16
MHQ MAG (N=2288),1536362.56,1630.16
MHQ MAG (N=2288),2393185.2,2077.32
MHQ MAG (N=2288),2235930.63,2495.91
MHQ MAG (N=2288),1857878.46,2100.42
MHQ MAG (N=2288),1570456.22,1489.87
MHQ MAG (N=2288),9669396.82,8646.28
MHQ MAG (N=2288),2530806.97,2066.2
MHQ MAG (N=2288),3302824.45,3365.1
MHQ MAG (N=2288),2695451.59,2550.95
MHQ MAG (N=2288),2553925.52,2102.02
MHQ MAG (N=2288),1643415.83,1440.28
MHQ MAG (N=2288),1512512.03,1405.34
MHQ MAG (N=2288),869836.37,784.02
MHQ MAG (N=2288),3573373.59,2865.87
MHQ MAG (N=2288),659548.27,616.83
MHQ MAG (N=2288),2746101.55,2380.19
MHQ MAG (N=2288),2962791.99,2918.52
MHQ MAG (N=2288),1965616.41,1703.29
MHQ MAG (N=2288),4886773.75,5140.86
MHQ MAG (N=2288),5380127.28,5932.55
MHQ MAG (N=2288),1358227.31,1435.37
MHQ MAG (N=2288),813518.09,654.54
MHQ MAG (N=2288),2031861.48,1950.36
MHQ MAG (N=2288),1797421.93,2242.88
MHQ MAG (N=2288),2735343.84,2715.5
MHQ MAG (N=2288),2177743.66,1763.75
MHQ MAG (N=2288),4320764.03,3777.33
MHQ MAG (N=2288),3581749.66,3609.98
MHQ MAG (N=2288),2320722.65,2171.03
MHQ MAG (N=2288),3484942.16,3295.73
MHQ MAG (N=2288),4938094.66,5153.36
MHQ MAG (N=2288),5330295.95,5704.1
MHQ MAG (N=2288),1955796.82,2207.92
MHQ MAG (N=2288),5519171.45,6193.05
MHQ MAG (N=2288),6066527.25,5149.56
MHQ MAG (N=2288),789636.37,725.4
MHQ MAG (N=2288),2491278.66,2623.93
MHQ MAG (N=2288),3152345.02,3159.03
MHQ MAG (N=2288),3759704.12,3690.65
MHQ MAG (N=2288),1284903.15,1269.38
MHQ MAG (N=2288),3730872.36,3542.88
MHQ MAG (N=2288),2412279.55,2212.52
MHQ MAG (N=2288),1955732.67,2013.85
MHQ MAG (N=2288),3235713.05,2883.2
MHQ MAG (N=2288),803542.71,798.38
MHQ MAG (N=2288),5089386.97,4785.07
MHQ MAG (N=2288),2176989.55,1959.88
MHQ MAG (N=2288),3331812.3,3249.68
MHQ MAG (N=2288),1616262.95,1397.59
MHQ MAG (N=2288),3331207.43,3487.75
MHQ MAG (N=2288),4974439.84,5523.81
MHQ MAG (N=2288),3401518.22,2940.67
MHQ MAG (N=2288),3847937.39,3480.35
MHQ MAG (N=2288),5153240.22,4988.41
MHQ MAG (N=2288),3535574.91,3297.15
MHQ MAG (N=2288),3829144.02,4048.0
MHQ MAG (N=2288),1786478.86,1960.49
MHQ MAG (N=2288),2831109.48,3247.78
MHQ MAG (N=2288),3693114.32,3244.19
MHQ MAG (N=2288),4949620.1,4048.84
MHQ MAG (N=2288),1536700.93,1550.74
MHQ MAG (N=2288),1794940.46,1454.99
MHQ MAG (N=2288),7425129.53,8017.51
MHQ MAG (N=2288),4118404.18,3811.12
MHQ MAG (N=2288),2535342.21,3065.12
MHQ MAG (N=2288),1565573.16,1407.89
MHQ MAG (N=2288),1771983.68,1904.78
MHQ MAG (N=2288),6589609.84,6635.66
MHQ MAG (N=2288),1499854.54,1397.12
MHQ MAG (N=2288),1703296.45,1672.27
MHQ MAG (N=2288),2969930.39,2432.13
MHQ MAG (N=2288),3645189.21,3712.5
MHQ MAG (N=2288),2705536.57,2318.35
MHQ MAG (N=2288),1689489.18,1210.8
MHQ MAG (N=2288),3120437.87,2697.66
MHQ MAG (N=2288),1506436.59,1508.53
MHQ MAG (N=2288),2913732.99,2701.93
MHQ MAG (N=2288),3419854.87,3406.45
MHQ MAG (N=2288),2268550.14,1961.42
MHQ MAG (N=2288),2798345.89,2197.94
MHQ MAG (N=2288),4791628.09,5193.06
MHQ MAG (N=2288),3947278.02,3862.51
MHQ MAG (N=2288),5540631.37,5719.4
MHQ MAG (N=2288),2594290.96,2521.52
MHQ MAG (N=2288),4806367.09,5695.6
MHQ MAG (N=2288),7413282.58,6554.66
MHQ MAG (N=2288),4839681.94,4431.57
MHQ MAG (N=2288),3060747.73,3057.72
MHQ MAG (N=2288),3571240.64,3559.1
MHQ MAG (N=2288),2654305.28,2731.94
MHQ MAG (N=2288),1558716.72,1431.3
MHQ MAG (N=2288),4320585.34,4274.98
MHQ MAG (N=2288),3164379.22,2839.37
MHQ MAG (N=2288),2174370.86,1982.66
MHQ MAG (N=2288),1373636.74,1260.73
MHQ MAG (N=2288),1227353.33,1213.41
MHQ MAG (N=2288),2562073.3,2643.04
MHQ MAG (N=2288),2513297.02,2586.71
MHQ MAG (N=2288),4104444.0,4114.15
MHQ MAG (N=2288),3148591.42,2886.51
MHQ MAG (N=2288),1822809.29,1595.99
MHQ MAG (N=2288),7278498.36,7964.25
MHQ MAG (N=2288),6380126.91,6469.31
MHQ MAG (N=2288),3470886.37,2997.32
MHQ MAG (N=2288),4146423.88,4016.77
MHQ MAG (N=2288),3837659.7,3658.32
MHQ MAG (N=2288),5413508.2,5297.18
MHQ MAG (N=2288),2741123.77,3542.04
MHQ MAG (N=2288),4597624.04,5339.06
MHQ MAG (N=2288),1302522.54,1137.88
MHQ MAG (N=2288),1609963.68,1618.24
MHQ MAG (N=2288),1723071.01,1426.47
MHQ MAG (N=2288),1521455.67,1615.06
MHQ MAG (N=2288),2038824.35,2089.78
MHQ MAG (N=2288),2740057.41,3063.88
MHQ MAG (N=2288),5239459.73,6135.1
MHQ MAG (N=2288),2850533.45,2736.48
MHQ MAG (N=2288),3806106.61,3756.81
MHQ MAG (N=2288),3902455.78,4238.5
MHQ MAG (N=2288),2975937.9,3348.98
MHQ MAG (N=2288),3502448.94,3387.12
MHQ MAG (N=2288),2315836.31,2150.66
MHQ MAG (N=2288),1993028.49,2103.55
MHQ MAG (N=2288),1530971.1,1632.52
MHQ MAG (N=2288),1072690.48,1058.14
MHQ MAG (N=2288),1077374.29,1070.4
MHQ MAG (N=2288),7757221.79,7615.82
MHQ MAG (N=2288),14454397.71,13630.4
MHQ MAG (N=2288),2303120.21,2355.54
MHQ MAG (N=2288),1571006.6,1457.03
MHQ MAG (N=2288),3902679.62,4266.58
MHQ MAG (N=2288),2752645.43,2443.68
MHQ MAG (N=2288),1884792.35,1948.19
MHQ MAG (N=2288),2946163.32,2540.5
MHQ MAG (N=2288),2635518.36,2299.73
MHQ MAG (N=2288),2410130.57,2294.65
MHQ MAG (N=2288),2394336.2,2305.41
MHQ MAG (N=2288),2560690.34,2682.94
MHQ MAG (N=2288),8461136.6,8316.07
MHQ MAG (N=2288),2190316.75,2023.11
MHQ MAG (N=2288),3154682.53,3031.9
MHQ MAG (N=2288),1045968.96,1059.77
MHQ MAG (N=2288),2624900.59,2149.26
MHQ MAG (N=2288),3809053.05,3357.84
MHQ MAG (N=2288),4874436.12,4666.25
MHQ MAG (N=2288),2115334.96,2177.97
MHQ MAG (N=2288),10926768.26,11693.5
MHQ MAG (N=2288),1452803.5,1372.29
MHQ MAG (N=2288),2450694.92,2106.01
MHQ MAG (N=2288),2192797.67,1632.72
MHQ MAG (N=2288),3068843.65,3231.72
MHQ MAG (N=2288),3145295.89,2977.39
MHQ MAG (N=2288),2106381.81,2321.12
MHQ MAG (N=2288),2878720.11,3215.35
MHQ MAG (N=2288),2914568.83,2879.64
MHQ MAG (N=2288),5571705.52,5291.81
MHQ MAG (N=2288),1598171.34,1282.2
MHQ MAG (N=2288),1396910.22,1362.39
MHQ MAG (N=2288),1776053.12,2032.18
MHQ MAG (N=2288),2715410.87,2261.47
MHQ MAG (N=2288),5758619.95,5831.06
MHQ MAG (N=2288),2436192.45,2080.21
MHQ MAG (N=2288),3553714.39,3531.34
MHQ MAG (N=2288),1484240.86,1415.48
MHQ MAG (N=2288),1451425.65,1162.54
MHQ MAG (N=2288),1123553.96,987.55
MHQ MAG (N=2288),941527.93,865.81
MHQ MAG (N=2288),1486831.12,1301.19
MHQ MAG (N=2288),1294165.86,1122.93
MHQ MAG (N=2288),4267041.24,4622.67
MHQ MAG (N=2288),2026909.37,2019.01
MHQ MAG (N=2288),6033556.42,6319.47
MHQ MAG (N=2288),1519460.91,1210.77
MHQ MAG (N=2288),1882701.94,1760.16
MHQ MAG (N=2288),2615463.85,1988.46
MHQ MAG (N=2288),1448760.53,1417.8
MHQ MAG (N=2288),4602476.44,4385.66
MHQ MAG (N=2288),2904184.59,3186.05
MHQ MAG (N=2288),3237098.92,3241.3
MHQ MAG (N=2288),1990523.76,2047.62
MHQ MAG (N=2288),5252276.59,5742.56
MHQ MAG (N=2288),2754377.97,2855.68
MHQ MAG (N=2288),2044435.46,1699.85
MHQ MAG (N=2288),4151864.56,4280.49
MHQ MAG (N=2288),1561956.58,1583.93
MHQ MAG (N=2288),2296877.15,2400.22
MHQ MAG (N=2288),4610229.99,4831.56
MHQ MAG (N=2288),1560401.75,1485.25
MHQ MAG (N=2288),2575254.49,2910.98
MHQ MAG (N=2288),10391241.9,8079.35
MHQ MAG (N=2288),4039757.71,4438.67
MHQ MAG (N=2288),2052510.67,2214.74
MHQ MAG (N=2288),4919024.33,4567.23
MHQ MAG (N=2288),2647341.47,2737.89
MHQ MAG (N=2288),2930480.75,2663.37
MHQ MAG (N=2288),2814165.52,2627.96
MHQ MAG (N=2288),1393670.12,1615.13
MHQ MAG (N=2288),7912453.45,7239.14
MHQ MAG (N=2288),3986674.77,4253.74
MHQ MAG (N=2288),2221633.99,1906.65
MHQ MAG (N=2288),602559.59,500.14
MHQ MAG (N=2288),2104199.33,2392.7
MHQ MAG (N=2288),2712975.3,2869.47
MHQ MAG (N=2288),1982179.8,1788.38
MHQ MAG (N=2288),5256163.68,6207.53
MHQ MAG (N=2288),1510276.01,1623.84
MHQ MAG (N=2288),3352784.57,3422.85
MHQ MAG (N=2288),3962308.2,4767.74
MHQ MAG (N=2288),2324524.21,2403.57
MHQ MAG (N=2288),5222322.65,5512.32
MHQ MAG (N=2288),1102843.57,979.86
MHQ MAG (N=2288),3331571.55,2294.45
MHQ MAG (N=2288),1514579.67,1345.97
MHQ MAG (N=2288),6596704.69,5803.78
MHQ MAG (N=2288),1986809.85,1873.45
MHQ MAG (N=2288),4210596.52,4484.92
MHQ MAG (N=2288),2062361.04,1998.6
MHQ MAG (N=2288),2616663.94,2682.22
MHQ MAG (N=2288),749763.84,701.48
MHQ MAG (N=2288),3857239.83,4171.73
MHQ MAG (N=2288),4719850.59,4574.01
MHQ MAG (N=2288),1559816.61,1646.0
MHQ MAG (N=2288),4074825.55,3585.7
MHQ MAG (N=2288),2471602.26,2247.5
MHQ MAG (N=2288),7034369.26,8105.3
MHQ MAG (N=2288),3028802.63,3027.2
MHQ MAG (N=2288),3954265.85,3643.43
MHQ MAG (N=2288),2948634.4,2655.23
MHQ MAG (N=2288),3753835.83,4104.73
MHQ MAG (N=2288),2992387.84,2664.92
MHQ MAG (N=2288),14454397.71,13454.34
MHQ MAG (N=2288),3972818.12,3505.76
MHQ MAG (N=2288),2518778.51,2449.08
MHQ MAG (N=2288),2919531.63,2800.51
MHQ MAG (N=2288),2400310.12,2448.58
MHQ MAG (N=2288),924099.28,667.46
MHQ MAG (N=2288),4658590.83,4663.21
MHQ MAG (N=2288),1483852.49,1602.39
MHQ MAG (N=2288),1454141.1,1402.04
MHQ MAG (N=2288),3297001.6,3442.21
MHQ MAG (N=2288),2781110.97,2568.42
MHQ MAG (N=2288),2457262.73,2167.73
MHQ MAG (N=2288),1119200.02,1019.49
MHQ MAG (N=2288),3399128.61,3629.9
MHQ MAG (N=2288),2778154.54,2911.46
MHQ MAG (N=2288),2005460.28,1980.59
MHQ MAG (N=2288),6053677.79,5894.33
MHQ MAG (N=2288),3899031.37,4643.07
MHQ MAG (N=2288),4346114.68,3451.64
MHQ MAG (N=2288),1748227.18,1960.94
MHQ MAG (N=2288),2070190.87,1971.25
MHQ MAG (N=2288),1668704.18,1428.68
MHQ MAG (N=2288),1579030.54,1587.85
MHQ MAG (N=2288),4814260.81,4107.52
MHQ MAG (N=2288),3080937.13,2773.53
MHQ MAG (N=2288),4737371.03,5000.74
MHQ MAG (N=2288),5200436.11,5340.14
MHQ MAG (N=2288),792825.35,689.74
MHQ MAG (N=2288),1376520.03,1435.21
MHQ MAG (N=2288),853230.33,726.31
MHQ MAG (N=2288),2179913.58,2398.63
